PURXXX_015ADCP015R00_20000310.40.2,PURXXX_015ADCP015R00_20000310.50
PROXXX_015ADCP015R00_20070907.40.2,PROXXX_015ADCP015R00_20070907.50
JALXXX_015ADCP015R00_20010802.40.2,JALXXX_015ADCP015R00_20010802.50
PELXXX_015ADCP015R00_20030128.40.3,PELXXX_015ADCP015R00_20030128.50
SHB001_021ADCP020R00_20040715.40.2,SHB001_021ADCP020R00_20040715.50
TPT001_018ADCP018R00_20050407.40.2,TPT001_018ADCP018R00_20050407.50
SHB001_021ADCP020R00_20010312.40.2,SHB001_021ADCP020R00_20010312.50
LB15CX_015ADCP014R00_20050614.40.2,LB15CX_015ADCP014R00_20050614.50
SQP001_021ADCP020R00_20020805.40.2,SQP001_021ADCP020R00_20020805.50
DBN15X_015ADCP014R00_20000706.40.2,DBN15X_015ADCP014R00_20000706.50
ELLXXX_015ADCP015R00_19991206.40.2,ELLXXX_015ADCP015R00_19991206.50
ELLXXX_015ADCP015R00_20000616.40.2,ELLXXX_015ADCP015R00_20000616.50
SWC001_022ADCP021R00_20031026.40.2,SWC001_022ADCP021R00_20031026.50
PURXXX_015ADCP015R00_20001205.40.2,PURXXX_015ADCP015R00_20001205.50
ALEXXX_015ADCP015R00_20071105.40.2,ALEXXX_015ADCP015R00_20071105.50
ELLXXX_015ADCP015R00_20010215.40.2,ELLXXX_015ADCP015R00_20010215.50
HMS001_020ADCP019R00_20010122.40.2,HMS001_020ADCP019R00_20010122.50
SWC001_022ADCP021R00_20050405.40.2,SWC001_022ADCP021R00_20050405.50
PROXXX_015ADCP015R00_20051208.40.2,PROXXX_015ADCP015R00_20051208.50
LB15CX_015ADCP014R00_20050425.40.2,LB15CX_015ADCP014R00_20050425.50
ARGXXX_015ADCP015R00_20030529.40.2,ARGXXX_015ADCP015R00_20030529.50
PTSXXX_015ADCP015R00_20020829.40.2,PTSXXX_015ADCP015R00_20020829.50
LB15CX_015ADCP014R00_20030715.40.2,LB15CX_015ADCP014R00_20030715.50
SCPXXX_015ADCP015R00_20061031.40.2,SCPXXX_015ADCP015R00_20061031.50
TPT001_018ADCP018R00_20030723.40.2,TPT001_018ADCP018R00_20030723.50
PURXXX_015ADCP015R00_20040212.40.2,PURXXX_015ADCP015R00_20040212.50
MORXXX_015ADCP015R00_20041201.40.2,MORXXX_015ADCP015R00_20041201.50
ALEXXX_015ADCP015R00_20030404.40.2,ALEXXX_015ADCP015R00_20030404.50
LB15CX_015ADCP014R00_20030520.40.2,LB15CX_015ADCP014R00_20030520.50
PURXXX_015ADCP015R00_20070802.40.2,PURXXX_015ADCP015R00_20070802.50
CH15CX_015ADCP014R00_20010801.40.2,CH15CX_015ADCP014R00_20010801.50
ARGXXX_015ADCP015R00_20040819.40.2,ARGXXX_015ADCP015R00_20040819.50
SCPXXX_015ADCP015R00_20051117.40.2,SCPXXX_015ADCP015R00_20051117.50
SR15CX_015ADCP014R00_20050426.40.2,SR15CX_015ADCP014R00_20050426.50
ALEXXX_015ADCP015R00_19990906.40.2,ALEXXX_015ADCP015R00_19990906.50
SWC001_022ADCP021R00_20060109.40.2,SWC001_022ADCP021R00_20060109.50
PTSXXX_015ADCP015R00_20030529.40.2,PTSXXX_015ADCP015R00_20030529.50
JALXXX_015ADCP015R00_20021127.40.2,JALXXX_015ADCP015R00_20021127.50
ALEXXX_015ADCP015R00_20020423.40.2,ALEXXX_015ADCP015R00_20020423.50
SWC001_022ADCP021R00_20010621.40.2,SWC001_022ADCP021R00_20010621.50
PURXXX_015ADCP015R00_20051101.40.2,PURXXX_015ADCP015R00_20051101.50
ALEXXX_015ADCP015R00_19990817.40.2,ALEXXX_015ADCP015R00_19990817.50
TPT001_018ADCP018R00_20020124.40.2,TPT001_018ADCP018R00_20020124.50
PTSXXX_015ADCP015R00_20080219.40.2,PTSXXX_015ADCP015R00_20080219.50
FC08CX_008ADCP007R00_20010430.40.2,FC08CX_008ADCP007R00_20010430.50
WC15XX_015ADCP014R00_20000706.40.2,WC15XX_015ADCP014R00_20000706.50
VALXXX_015ADCP015R00_20030807.40.3,VALXXX_015ADCP015R00_20030807.50
HMS001_020ADCP019R00_20050104.40.2,HMS001_020ADCP019R00_20050104.50
PTSXXX_015ADCP015R00_20040819.40.2,PTSXXX_015ADCP015R00_20040819.50
SHB001_021ADCP020R00_20010514.40.2,SHB001_021ADCP020R00_20010514.50
SHB001_021ADCP020R00_20031031.40.2,SHB001_021ADCP020R00_20031031.50
TPT001_018ADCP018R00_20060714.40.2,TPT001_018ADCP018R00_20060714.50
ALEXXX_015ADCP015R00_20050115.40.2,ALEXXX_015ADCP015R00_20050115.50
SHB001_021ADCP020R00_20010813.40.2,SHB001_021ADCP020R00_20010813.50
YH15CX_015ADCP014R00_19990806.40.2,YH15CX_015ADCP014R00_19990806.50
PTSXXX_015ADCP015R00_20030312.40.2,PTSXXX_015ADCP015R00_20030312.50
SH15XX_015ADCP014R00_20040705.40.2,SH15XX_015ADCP014R00_20040705.50
ALEXXX_015ADCP015R00_20001205.40.2,ALEXXX_015ADCP015R00_20001205.50
SWC001_022ADCP021R00_20010831.40.2,SWC001_022ADCP021R00_20010831.50
ALEXXX_015ADCP015R00_20021203.40.2,ALEXXX_015ADCP015R00_20021203.50
VALXXX_015ADCP015R00_20031202.40.3,VALXXX_015ADCP015R00_20031202.50
SWC001_022ADCP021R00_20000617.40.2,SWC001_022ADCP021R00_20000617.50
PURXXX_015ADCP015R00_19991110.40.2,PURXXX_015ADCP015R00_19991110.50
ELLXXX_015ADCP015R00_20020423.40.2,ELLXXX_015ADCP015R00_20020423.50
PELXXX_015ADCP015R00_20020709.40.3,PELXXX_015ADCP015R00_20020709.50
ALEXXX_015ADCP015R00_20040818.40.2,ALEXXX_015ADCP015R00_20040818.50
ARGXXX_015ADCP015R00_20040212.40.2,ARGXXX_015ADCP015R00_20040212.50
PURXXX_015ADCP015R00_20020117.40.2,PURXXX_015ADCP015R00_20020117.50
SR15XX_015ADCP014R00_20040709.40.2,SR15XX_015ADCP014R00_20040709.50
ALEXXX_015ADCP015R00_20050614.40.2,ALEXXX_015ADCP015R00_20050614.50
